2022-03-31 08:03:37 |[048]options.py  | Create directory: ./experiment
2022-03-31 08:03:37 |[048]options.py  | Create directory: ./experiment/qsrm_x4_perceptual
2022-03-31 08:03:37 |[048]options.py  | Create directory: ./experiment/qsrm_x4_perceptual/best_status
2022-03-31 08:03:37 |[048]options.py  | Create directory: ./experiment/qsrm_x4_perceptual/visual
2022-03-31 08:03:37 |[057]options.py  | Available gpu: 0
2022-03-31 08:03:37 |[048]train.py    | Create train dataset successfully!
2022-03-31 08:03:37 |[049]train.py    | Training: [10093] iterations for each epoch
2022-03-31 08:03:37 |[052]train.py    | Create val dataset successfully!
2022-03-31 08:03:37 |[053]train.py    | Validating: [898] iterations for each epoch
2022-03-31 08:03:37 |[056]train.py    | Preparing for experiment: [qsrm_x4_perceptual]
2022-03-31 21:31:19 |[212]solver.py   | Epoch:   49 | PSNR: 27.52 | Loss: 6.9067 | lr: 1.00e-03 | Best_PSNR: 27.56 in Epoch [42]
2022-03-31 21:47:24 |[212]solver.py   | Epoch:   50 | PSNR: 27.55 | Loss: 6.9086 | lr: 1.00e-03 | Best_PSNR: 27.56 in Epoch [42]
2022-03-31 22:03:29 |[212]solver.py   | Epoch:   51 | PSNR: 27.53 | Loss: 6.9081 | lr: 1.00e-03 | Best_PSNR: 27.56 in Epoch [42]
2022-03-31 22:19:36 |[212]solver.py   | Epoch:   52 | PSNR: 27.57 | Loss: 6.9060 | lr: 1.00e-03 | Best_PSNR: 27.57 in Epoch [52]
2022-03-31 22:35:44 |[212]solver.py   | Epoch:   53 | PSNR: 27.41 | Loss: 6.9205 | lr: 1.00e-03 | Best_PSNR: 27.57 in Epoch [52]
2022-03-31 22:51:51 |[212]solver.py   | Epoch:   54 | PSNR: 27.53 | Loss: 6.9011 | lr: 1.00e-03 | Best_PSNR: 27.57 in Epoch [52]
2022-03-31 23:07:59 |[212]solver.py   | Epoch:   55 | PSNR: 27.49 | Loss: 6.9174 | lr: 1.00e-03 | Best_PSNR: 27.57 in Epoch [52]
2022-03-31 23:24:07 |[212]solver.py   | Epoch:   56 | PSNR: 27.56 | Loss: 6.8980 | lr: 1.00e-03 | Best_PSNR: 27.57 in Epoch [52]
2022-03-31 23:40:14 |[212]solver.py   | Epoch:   57 | PSNR: 27.56 | Loss: 6.8948 | lr: 1.00e-03 | Best_PSNR: 27.57 in Epoch [52]
2022-03-31 23:56:21 |[212]solver.py   | Epoch:   58 | PSNR: 27.53 | Loss: 6.8921 | lr: 1.00e-03 | Best_PSNR: 27.57 in Epoch [52]
2022-04-01 00:12:30 |[212]solver.py   | Epoch:   59 | PSNR: 27.58 | Loss: 6.8909 | lr: 1.00e-03 | Best_PSNR: 27.58 in Epoch [59]
2022-04-01 00:28:36 |[212]solver.py   | Epoch:   60 | PSNR: 27.56 | Loss: 6.9177 | lr: 1.00e-03 | Best_PSNR: 27.58 in Epoch [59]
2022-04-01 00:44:43 |[212]solver.py   | Epoch:   61 | PSNR: 27.50 | Loss: 6.9007 | lr: 1.00e-03 | Best_PSNR: 27.58 in Epoch [59]
2022-04-01 01:00:49 |[212]solver.py   | Epoch:   62 | PSNR: 27.55 | Loss: 6.9076 | lr: 1.00e-03 | Best_PSNR: 27.58 in Epoch [59]
2022-04-01 01:16:55 |[212]solver.py   | Epoch:   63 | PSNR: 27.55 | Loss: 6.9017 | lr: 1.00e-03 | Best_PSNR: 27.58 in Epoch [59]
2022-04-01 01:33:02 |[212]solver.py   | Epoch:   64 | PSNR: 27.53 | Loss: 6.9093 | lr: 1.00e-03 | Best_PSNR: 27.58 in Epoch [59]
2022-04-01 01:49:09 |[212]solver.py   | Epoch:   65 | PSNR: 27.53 | Loss: 6.9080 | lr: 1.00e-03 | Best_PSNR: 27.58 in Epoch [59]
2022-04-01 02:05:17 |[212]solver.py   | Epoch:   66 | PSNR: 27.50 | Loss: 6.9102 | lr: 1.00e-03 | Best_PSNR: 27.58 in Epoch [59]
2022-04-01 02:21:26 |[212]solver.py   | Epoch:   67 | PSNR: 27.56 | Loss: 6.8945 | lr: 1.00e-03 | Best_PSNR: 27.58 in Epoch [59]
2022-04-01 02:37:35 |[212]solver.py   | Epoch:   68 | PSNR: 27.57 | Loss: 6.9152 | lr: 1.00e-03 | Best_PSNR: 27.58 in Epoch [59]
2022-04-01 02:53:33 |[212]solver.py   | Epoch:   69 | PSNR: 27.48 | Loss: 6.8922 | lr: 1.00e-03 | Best_PSNR: 27.58 in Epoch [59]
2022-04-01 03:09:39 |[212]solver.py   | Epoch:   70 | PSNR: 27.50 | Loss: 6.9034 | lr: 1.00e-03 | Best_PSNR: 27.58 in Epoch [59]
2022-04-01 03:25:44 |[212]solver.py   | Epoch:   71 | PSNR: 27.54 | Loss: 6.8905 | lr: 1.00e-03 | Best_PSNR: 27.58 in Epoch [59]
2022-04-01 03:41:43 |[212]solver.py   | Epoch:   72 | PSNR: 27.53 | Loss: 6.9144 | lr: 1.00e-03 | Best_PSNR: 27.58 in Epoch [59]
2022-04-01 03:57:44 |[212]solver.py   | Epoch:   73 | PSNR: 27.58 | Loss: 6.9116 | lr: 1.00e-03 | Best_PSNR: 27.58 in Epoch [73]
2022-04-01 04:13:49 |[212]solver.py   | Epoch:   74 | PSNR: 27.58 | Loss: 6.9111 | lr: 1.00e-03 | Best_PSNR: 27.58 in Epoch [74]
2022-04-01 04:29:50 |[212]solver.py   | Epoch:   75 | PSNR: 27.53 | Loss: 6.8922 | lr: 1.00e-03 | Best_PSNR: 27.58 in Epoch [74]
2022-04-01 04:45:49 |[212]solver.py   | Epoch:   76 | PSNR: 27.58 | Loss: 6.9178 | lr: 1.00e-03 | Best_PSNR: 27.58 in Epoch [74]
2022-04-01 05:01:48 |[212]solver.py   | Epoch:   77 | PSNR: 27.52 | Loss: 6.8962 | lr: 1.00e-03 | Best_PSNR: 27.58 in Epoch [74]
