2022-04-04 04:13:37 |[048]options.py  | Create directory: ./experiment
2022-04-04 04:13:37 |[048]options.py  | Create directory: ./experiment/qsrm_x4_mixed
2022-04-04 04:13:37 |[048]options.py  | Create directory: ./experiment/qsrm_x4_mixed/best_status
2022-04-04 04:13:37 |[048]options.py  | Create directory: ./experiment/qsrm_x4_mixed/visual
2022-04-04 04:13:37 |[057]options.py  | Available gpu: 0
2022-04-04 21:45:16 |[215]solver.py   | Epoch:   65 | PSNR: 27.09 | Loss: 19.0520 | Best_PSNR: 27.15 in Epoch [63]
2022-04-04 22:01:14 |[215]solver.py   | Epoch:   66 | PSNR: 27.11 | Loss: 19.0828 | Best_PSNR: 27.15 in Epoch [63]
2022-04-04 22:17:12 |[215]solver.py   | Epoch:   67 | PSNR: 27.10 | Loss: 19.0902 | Best_PSNR: 27.15 in Epoch [63]
2022-04-04 22:33:10 |[215]solver.py   | Epoch:   68 | PSNR: 27.13 | Loss: 19.0633 | Best_PSNR: 27.15 in Epoch [63]
2022-04-04 22:49:08 |[215]solver.py   | Epoch:   69 | PSNR: 27.14 | Loss: 19.0821 | Best_PSNR: 27.15 in Epoch [63]
2022-04-04 23:05:07 |[215]solver.py   | Epoch:   70 | PSNR: 27.15 | Loss: 19.0402 | Best_PSNR: 27.15 in Epoch [63]
2022-04-04 23:21:05 |[215]solver.py   | Epoch:   71 | PSNR: 27.11 | Loss: 19.0499 | Best_PSNR: 27.15 in Epoch [63]
2022-04-04 23:37:02 |[215]solver.py   | Epoch:   72 | PSNR: 27.13 | Loss: 19.0761 | Best_PSNR: 27.15 in Epoch [63]
2022-04-04 23:53:01 |[215]solver.py   | Epoch:   73 | PSNR: 27.13 | Loss: 19.0681 | Best_PSNR: 27.15 in Epoch [63]
2022-04-05 00:08:59 |[215]solver.py   | Epoch:   74 | PSNR: 27.15 | Loss: 19.0418 | Best_PSNR: 27.15 in Epoch [63]
2022-04-05 00:24:56 |[215]solver.py   | Epoch:   75 | PSNR: 27.12 | Loss: 19.0538 | Best_PSNR: 27.15 in Epoch [63]
2022-04-05 00:40:54 |[215]solver.py   | Epoch:   76 | PSNR: 27.12 | Loss: 19.1106 | Best_PSNR: 27.15 in Epoch [63]
